S.No,College Code,College Name,Address
205,2702,Bannari Amman Institute of Technology (Autonomous),Sathy-Bhavani Road (State Highway) Alathukombai Post Sathyamangalam (Taluk) Erode District-638401
206,2704,Coimbatore Institute of Engineering and Technology (Autonomous),Vellimalaipattinam Narasipuram Post Thondamuthur Via Coimbatore-641109
207,2705,CSI College of Engineering,Ketti Valley The Nilgiris-643215
208,2706,Dr Mahalingam College of Engineering and Technology (Autonomous),Mackkinaickenpatti Post Udumalai Road Pollachi Coimbatore-642003
209,2707,Erode Sengunthar Engineering College (Autonomous),Thudupathi Perundurai (Tk) Erode District-638057
210,2708,Hindusthan College of Engineering and Technology (Autonomous),Othakkalmandapam Village Coimbatore South Taluk Coimbatore District-641032
211,2709,Government College of Engineering (Formerly Institute of Road and Transport Technology),Vasavi College Post Erode District 638316
212,2710,Karpagam College of Engineering (Autonomous),S.F.No.758 Othakkal Mandapam Coimbatore-641032
213,2711,Kongu Engineering College (Autonomous),Perundurai Railway Station Road Thoppupalayam Perundurai Erode-638052
214,2712,Kumaraguru College of Technology (Autonomous),Chinnavedampatti Coimbatore-641049
215,2713,M.P.Nachimuthu M.Jaganathan Engineering College,Chennimalai Erode-638112
216,2715,Nandha Engineering College (Autonomous),28 Chennimalaipalayam Road Pitchandampalayam Post Erode-638052
217,2716,Park College of Engineering and Technology,Avinashi Road (NH-47) Kaniyur Coimbatore-641659
218,2717,Sasurie College of Engineering,Vijayamangalam Tirupur District-638056
219,2718,Sri Krishna College of Engineering and Technology (Autonomous),Sugunapuram Kuniamuthur Post Coimbatore-641008
220,2719,Sri Ramakrishna Engineering College (Autonomous),Vattamalaipalayam NGGO Colony Post Coimbatore-641022
221,2721,Tamilnadu College of Engineering,Palanisame Ravi Nagar Karumathampatti Post Coimbatore-641659
222,2722,Sri Krishna College of Technology (Autonomous),Kovaipudur Post Coimbatore-641042
223,2723,Velalar College of Engineering and Technology (Autonomous),Perundurai Road Thindal Post Erode-638012
224,2725,Sri Ramakrishna Institute of Technology (Autonomous),Pachapalayam Perur Chettipalayam Coimbatore-641010
225,2726,SNS College of Technology (Autonomous),Sathy Main Road Vazhiyampalayam Saravanampatti Post Coimbatore-641035
226,2727,Sri Shakthi Institute of Engineering and Technology (Autonomous),Sri Shakthi Nagar L & T By-pass Road Chinniyampalayam Post Coimbatore-641062
227,2729,Nehru Institute of Engineering and Technology (Autonomous),Nehru Gardens Thirumalayampalayam (Post) Coimbatore-641105
228,2731,RVS College of Engineering and Technology (Autonomous),Kumaran Kottam Campus Kannampalayam Post Coimbatore-641402
229,2732,Info Institute of Engineering,S F No.194-200 N.H.209 Sathy Road Sarakarsamakulam Kovilpalayam Coimbatore-641107
230,2733,Angel College of Engineering and Technology,PK Palayam PO Dharapuram Main Road Ugayanur village Tiruppur-641665
231,2734,SNS College of Engineering (Autonomous),Sathy Main Road Kurumbapalayam Post Coimbatore-641107
232,2735,Karpagam Institute of Technology (Autonomous),S.F. NO. 247 L&T Bypass Road Seerapalayam Village Bodipalayam Post Coimbatore-641105
233,2736,Dr N.G.P. Institute of Technology (Autonomous),Dr. N.G.P. Nagar Kalapatti Road Coimbatore-641048
234,2737,Sri Sai Ranganathan Engineering College,Viraliyur Post Thondamuthur(via) Coimbatore-641109
235,2739,Sri Eshwar College of Engineering (Autonomous),Kondampatti Post Vadasithur Via Coimbatore-641202
